人 士
饺子皮 瓜皮
黄金壳 核桃壳
脊 棱
土壤层 黄土层
高度层 中下层
绝缘层 涂层
身 体
膛 腹
帮 壁
桥身 车身
下腹 中腹
颈 脖
骨架 骨子
框 框子
画框 木框
人骨 甲骨
肋 盆腔
行李架 伞架
盖 盖子
塞 塞子
冰盖 后盖
杆 梗
操纵杆 平衡杆
粗杆 杆儿
柄 托
把 把手
拉手 扳手
刀把 刀柄
曲柄 手柄
布托 枪托
嘴 门
壶嘴 奶嘴
座 座子
脚 腿
翼 翅
挡 栅
心 芯
灯苗 花心
宇宙 天体
星辰 星斗
星座 座
银河 天河
金星 太白星
火星 荧惑
木星 岁星
土星 镇星
织女星 织女
牵牛星 牵牛
北斗星 斗
北极星 北辰
彗星 扫帚星
老人星 寿星
流星 贼星
恒星 行星
水星 金星
星云 星团
天秤座 天琴座
太阳系 银河系
太阳 阳
朝阳 旭
夕阳 斜阳
骄阳 烈日
太阳黑子 黑子
月亮 月球
朔月 新月
新月 月牙
满月 望月
皎月 皓月
日月 大明
地球 地
寰球 寰宇
东半球 西半球
北极 南极
北极圈 南极圈
寒带 温带
经线 纬线
南纬 北纬
陆地 大陆
冲 坳
低地 洼地
荒地 沙荒
生荒 生地
盐碱地 碱地
雪域 雪地
内陆 地峡
山地 台地
亚洲 北美
原野 旷野
平原 平地
草原 草地
淤地 沼泽
沙漠 漠
岛屿 岛
海岛 群岛
女儿岛 蝶岛
沙洲 三角洲
滩 沙滩
浅滩 河滩
岸 岸边
东岸 南岸
湖岸 江岸
河滨 海滨
山 山脊
青山 苍山
高山 岳
山冈 山包
土山 丘
峦 峰峦
山顶 山头
山脚 山麓
山脊 山梁
山谷 谷
山崖 崖
童山 秃岭
山间 山野
西北麓 北麓
雪山 火山
嵩山 喜马拉雅山
坡 斜坡
山坡 阪
缓坡 慢坡
荒山坡 荒坡
高坡 陡坡
海洋 大海
远洋 重洋
洋流 海流
大陆架 陆棚
内海 内陆海
濒海 海边
海湾 海峡
北冰洋 北大西洋
亚得里亚海 黑海
江河 江
小河 浜
护城河 城池
岔流 汊流
主流 干流
支流 港
河床 河道
河曲 流觞曲水
巨流 洪流
急流 激流
暗流 伏流
内河 界河
上流 中流
河套 河网
鸭绿江 雅鲁藏布江
北戴河 大运河
渭 沅
溪涧 山涧
水沟 河沟
湖泊 湖
咸水湖 盐湖
内陆湖 断层湖
洱 濡
鄱阳湖 滨湖
池塘 池沼
粪池 化粪池
汪塘 火塘
养鱼池 沼气池
泥坑 泥潭
潭 潭水
湖泽 湖沼
泉水 泉
喷泉 飞泉
温泉 汤泉
清泉 甘泉
瀑布 飞瀑
废墟 瓦砾
雨 雨水
雨点 雨脚
小雨 毛毛雨
大雨 豪雨
骤雨 暴雨
阵雨 雷阵雨
霖雨 霖
黄梅雨 梅雨
喜雨 甘雨
中雨 中到大雨
冰雨 泥雨
雪 雪花
粒雪 雪球
初雪 瑞雪
雹 冰雹
冰 冰凌
冰锥 冰柱
冰块 冰碴
冰山 冰排
大风 疾风
飓风 台风
微风 软风
清风 雄风
和风 熏风
寒风 阴风
热风 焚风
东风 谷风
南风 熏风
西风 大风
北风 凉风
西南风 凉风
逆风 打头风
旋风 羊角
信风 贸易风
狂风暴雨 暴风骤雨
凄风苦雨 苦雨凄风
过堂风 穿堂风
沙尘暴 沙暴
晚风 夜风
晚风 季风
云 云彩
云气 霭
阴云 彤云
彩云 云霞
庆云 祥云
白云 乌云
云海 云层
卷云 积云
露 露水
严霜 冷霜
早霜 晚霜
柿霜 终霜
虹 彩虹
副虹 霓
霞 彤云
朝霞 晚霞
烟 烟雾
风烟 香烟
烟幕 烟柱
雾 雾气
云雾 烟霭
迷雾 五里雾
酸雾 晨雾
雷 霹雳
炸雷 焦雷
闷雷 春雷
闪电 电
潮汛 潮信
早潮 高潮
春汛 秋汛
潮汕 赤潮
流水 清流
洪水 洪流
深渊 渊
积水 沥水
开水 滚水
生水 凉水
泔水 米泔水
水滴 水珠
培养液 营养液
春水 绿水
雨水 雪水
菜汤 鱼汤
钻井液 沼液
汁 汁液
乳汁 胆汁
滤液 溶液
浆 浆液
岩浆 纸浆
泡 泡沫
水泡 沤
卵泡 气泡
波浪 波
大浪 澜
涟漪 鳞波
漩涡 涡流
碧波 波峰
爆炸波 震波
超声波 低声波
麦浪 松涛
野火 天火
篝火 营火
磷火 鬼火
火焰 火苗
外焰 氧化焰
内焰 还原焰
烈火 大火
星火 微火
烟火 焰火
烽火 烽烟
灯火 渔火
电火花 焊花
光 光线
日光 阳光
曙光 晨光
落照 残照
月光 月色
灯光 灯火
白炽 白热
红外线 红外光
紫外线 紫外光
偏光 偏振光
火光 霞光
光波 光带
日晕 月晕
影 影子
人影儿 身影
背影 后影
倒影 本影
舞影 倩影
正投影 背投影
电 电老虎
正电 阳电
负电 阴电
感生电流 感应电流
电流 交流电
电波 电磁波
无线电波 高频电波
长波 中波
磁共振 核磁共振
气 气体
空气 大气
冷气 凉气
暖气 热气
氧气 氧
氢气 氢
氮气 氮
氯气 氯
氨气 氨
碳酸气 碳酐
沼气 甲烷
电石气 乙炔
毒气 毒瓦斯
水蒸气 蒸气
氩气 氩
氟化氢 氟利昂
气流 气旋
天然气 煤气
二氧化硫 一氧化碳
甲烷 乙烷
高压氧 活性氧
尾气 膻气
弱冷空气 暖空气
颜色 色
淡色 素色
基色 原色
冷色 寒色
补色 对比色
图案色 广告色
银灰 银灰色
正色 彩色
浓绿 新绿
灰黑色 铅灰色
浅色 亮色
绽白 灰白色
橙黄色 杏黄色
暗蓝色 深蓝色
鲜红色 橘红色
肤色 血色
气息 气味
桔味 酒味
兵味 京味
味道 滋味
回味 余味
声音 声响
乐音 乐声
噪音 噪声
回声 回响
标准音 国音
元音 母音
辅音 子音
爆发音 破裂音
擦音 摩擦音
齿唇音 唇齿音
舌根音 舌面后音
翘舌音 卷舌音
字音 字
话音 口音
方音 口音
音节 音缀
叮当作响 叮当
足音 脚步声
喊叫声 叫声
赞扬声 喝彩声
鞭炮声 爆竹声
问候声 祝福声
无息 无声无息
大声 高声
低声 悄声
喉音 牙音
男高音 男中音
男声 女声
洋嗓子 假嗓子
音乐声 笛音
说话声 呼救声
警笛声 汽笛声声
啧啧 哗哗哗
半元音 鼻化元音
最强音 强音
音调 声调
字调 四声
阴平 第一声
阳平 第二声
上声 第三声
去声 第四声
平声 上声
哭腔 洋腔
主调 降调
九宫 宫调
