人 士
填补 弥补
亲密 密切
罢免 免职
苗条 修长
修长 苗条
描写 描述
描述 描写
消亡 灭亡
显明 明显
声誉 名誉
声望 名誉
牟取 攫取
里手 内行
内情 内幕
强人 能人
伪造 捏造
聆听 凝听
腼腆 忸怩
怒吼 咆哮
讴歌 赞美
排斥 排挤
盘踞 占据
遗弃 抛弃
培育 培养
信服 佩服
批判 批评
成见 偏见
倾向 偏向
廉价 便宜
圈套 骗局
聘用 聘请
镇静 平静
欺负 欺侮
诈骗 欺骗
漆黑 黝黑
巧妙 奇妙
歧视 轻视
启迪 启发
妄图 企图
气宇 气度
气概 气势
谦和 谦恭
姑息 迁就
前途 前程
出路 前途
忠诚 虔诚
躲藏 潜藏
浅陋 浅薄
强暴 强横
强壮 强健
强制 强迫
强迫 强制
切磋 商讨
亲信 心腹
心腹 亲信
损害 侵害
侵略 侵犯
勤恳 勤奋
勤勉 勤恳
勤俭 节约
节约 勤俭
肃清 清除
清理 清算
贫寒 清贫
清爽 清新
轻佻 轻浮
情愿 宁愿
甘愿 情愿
形式 情势
情义 情谊
情意 情义
请求 要求
祝贺 庆祝
驱赶 驱逐
曲解 歪曲
歪曲 曲解
取缔 取消
权力 权利
威望 声望
势力 权势
全体 全部
整个 全部
缺陷 缺点
缺乏 缺少
确定 肯定
确实 确切
确凿 确实
让步 妥协
妥协 让步
退让 让步
热爱 酷爱
热点 热门
热情 热忱
热忱 热情
热心 热情
热闹 热烈
仁慈 善良
善良 仁慈
忍耐 忍受
忍受 忍耐
谦让 忍让
融合 融会
交融 融合
融化 熔化
熔化 融化
幸运 荣幸
声誉 荣誉
软禁 囚禁
囚禁 软禁
幽禁 软禁
润色 润饰
撒手 放手
分布 散布
散播 散布
散步 漫步
溜达 散步
骚乱 动乱
动乱 骚乱
颜色 色彩
擅长 善于
长于 擅长
磋商 商量
商议 商讨
商榷 商议
损害 伤害
销毁 烧毁
设备 装备
装备 设备
深刻 深入
申述 申说
申诉 申述
神往 向往
稳重 慎重
声调 音调
腔调 声调
声援 支援
生僻 冷僻
牲畜 畜生
绝望 失望
实施 实行
时代 时期
时兴 时髦
时髦 时兴
试验 实验
观察 视察
事迹 业绩
业绩 事迹
逝世 去世
逝世 死
收复 光复
克复 收复
收买 拉拢
收拾 整理
手腕 手段
约束 束缚
熟识 熟悉
虚弱 衰弱
清醒 苏醒
随便 随意
随意 随便
损坏 破坏
毁坏 损坏
指示 唆使
探询 探听
逃亡 流亡
亡命 逃亡
特色 特点
特征 特点
倡导 提倡
提醒 提示
选拔 提拔
体格 体魄
体魄 体格
谅解 体谅
调处 调解
调剂 调解
调整 调剂
挺拔 挺立
同窗 同学
赞成 同意
偷盗 偷窃
盗窃 偷盗
脑子 头脑
投奔 投靠
投靠 投奔
透辟 透彻
屠戮 屠杀
推卸 推辞
推戴 拥戴
拥戴 推戴
推进 推动
推敲 斟酌
斟酌 推敲
推让 谦让
谦让 推让
推重 推许
推崇 推重
颓丧 颓废
疲塌 拖拉
妥帖 妥当
奚落 挖苦
弯曲 曲折
完美 完善
完整 完全
可惜 惋惜
悠扬 婉转
忘怀 忘记
妄想 妄图
妄图 妄想
小心 当心
效率 效力
效力 效率
协定 协议
协调 调和
泄露 泄漏
透露 泄漏
辛勤 辛苦
心肠 心地
心地 心肠
心境 心情
心坎 心田
信用 信誉
信念 信心
行为 行动
行径 行动
性格 性情
兴致 兴趣
凶狠 凶恶
凶猛 凶悍
雄壮 雄浑
雄浑 雄壮
雄健 雄壮
宣传 宣扬
鼓吹 宣传
宣告 宣布
血汗 心血
心血 血汗
巡视 巡查
讯问 询问
追求 寻求
压缩 紧缩
压制 压抑
钻研 研究
演变 演化
演化 演变
蜕变 演变
掩饰 掩盖
目光 眼光
养活 赡养
赡养 养活
要挟 威胁
威胁 要挟
遗嘱 遗言
遗愿 遗言
阴沉 阴森
隐约 模糊
引诱 引导
诱导 引诱
应该 应当
理当 应当
英灵 英魂
英魂 英灵
俊秀 英俊
英勇 勇敢
勇敢 英勇
勇猛 英勇
迎合 逢迎
养分 营养
硬朗 结实
健壮 硬朗
拥护 拥戴
拥戴 拥护
俗气 庸俗
勇敢 大胆
涌现 出现
用处 用途
用途 用处
用场 用处
优良 优秀
优异 优良
幽美 优美
幽深 幽邃
幽邃 幽深
悠长 悠久
友情 友谊
愚蠢 愚昧
预感 预见
预见 预感
预料 预感
预兆 前兆
前兆 预兆
圆滑 油滑
世故 圆滑
原谅 谅解
谅解 原谅
援助 支援
赞助 援助
愿望 欲望
欲望 愿望
运用 应用
应用 运用
灾难 灾害
赞扬 赞美
赞颂 赞美
赞赏 赞美
赞成 赞同
赞许 赞成
赞助 资助
遭遇 遭受
增添 增加
增进 促进
促进 增进
沾染 感染
传染 沾染
展示 展现
占领 占据
战斗 战役
招待 接待
款待 招待
朝气 生气
照应 照顾
照射 照耀
珍爱 珍重
珍重 珍爱
热诚 真诚
真理 真谛
真谛 真理
侦查 侦察
震撼 震动
沉着 镇静
症结 关键
争辩 辩论
争论 争辩
争夺 争取
整顿 整理
正派 正直
郑重 慎重
支撑 支持
指导 指点
指点 指导
指示 指导
制订 制定
忠诚 忠实
忠厚 忠诚
中止 中断
重任 重担
重担 重任
注重 重视
首要 重要
周密 周到
周密 严密
严密 周密
缜密 周密
主意 主张
祝贺 祝愿
祝愿 祝贺
注目 注视
瞩目 注视
有名 着名
传达 转达
装饰 装潢
状况 状态
拙劣 低劣
卑劣 拙劣
卓越 卓着
卓着 卓越
着重 侧重
资格 资历
资历 资格
滋长 滋生
细心 仔细
自傲 自负
骄傲 自满
宗旨 主旨
踪影 踪迹
踪迹 踪影
走卒 走狗
阻止 阻挠
阻挠 阻止
阻拦 阻止
罪恶 罪行
罪责 罪恶
尊敬 尊重
遵守 遵照
遵循 遵守
作祟 作怪
作风 风格
威信 威望
威望 威信
威胁 威逼
威逼 威胁
微妙 奥妙
违抗 违背
为难 难堪
尴尬 为难
环抱 围绕
伟人 巨人
巨人 伟人
害怕 畏惧
慰问 慰劳
慰劳 慰问
温柔 温顺
和顺 温柔
稳重 庄重
持重 稳重
诬陷 诬告
诬告 诬陷
无私 忘我
忘我 无私
误会 误解
物质 物资
物资 物质
习气 习惯
修长 细长
狭小 狭窄
前辈 先辈
相关 相干
惦念 想念
罪有应得 咎由自取
家庭祸变 萧墙之祸
狗急跳墙 垂死挣扎
邯郸之梦 黄粱一梦
虎口余生 死里逃生
河东狮吼 畏妻如虎
光说不做 言而不行
风卷残云 狼吞虎咽
红杏出墙 不安于室
冠冕堂皇 堂而皇之
忽冷忽热 乍寒乍热
好景不常 昙花一现
更深人静 夜阑人静
耕市不惊 秋毫无犯
自强不息 发奋图强
自怨自艾 怨天尤人
积厚流光 源远流长
肌理丰盈 珠圆玉润
见色忘友 重色轻友
花花世界 十丈软红
画龙点睛 一语道破
化为乌有 子虚乌有
横征暴敛 苛捐杂税
桂林一枝 一枝独秀
光说不练 言而不行
毂击肩摩 车水马龙
剪烛西窗 同窗夜语
蜚短流长 闲言闲语
胆破心惊 心胆俱寒
低声密语 交头接耳
登高一呼 振臂一呼
耳提面命 谆谆教诲
独出机杼 别出心裁
夺得冠军 独占鳌头
反璞归真 洗净铅华
干卿底事 与你何关
分毫不爽 一点不错
额手称庆 以手加额
奉行故事 遵守习惯
访古寻幽 探寻胜迹
回天乏术 无法复生
毫无所惧 肆无忌惮
贩夫走卒 引车卖浆
倒履相迎 扫径以待
刀锯不辞 死生无惧
后生可畏 少年老成
害人不浅 贻害不浅
耕人之田 为人作嫁
构词惑众 造谣生事
空费时日 旷日持久
美轮美奂 竹苞松茂
蛮触之争 蜗角之争
兴师动众 调兵遣将
兴致勃勃 兴高采烈
捋臂将拳 摩拳擦掌
偶一为之 逢场作戏
难望项背 瞠乎其后
莲开并蒂 双宿双飞
开门揖盗 引狼入室
犁庭扫穴 直捣黄龙
移樽就教 移船就础
燎原之火 星火燎原
历尽沧桑 饱经风霜
柳眉倒竖 杏眼圆睁
絮絮不休 絮絮叨叨
一蹴而就 一挥而就
沐猴而冠 衣冠禽兽
魄散九霄 魂飞天外
名利双收 求名求利
钳形进攻 左右夹攻
烂醉如泥 玉山颓倒
一刀两断 薪尽火灭
两姓之好 秦晋之好
抛戈弃甲 抱头鼠窜
油头滑脑 油嘴滑舌
见笑于人 贻笑大方
落拓不羁 不拘小节
开宗明义 开门见山
截趾适履 削足就履
积不相容 势如水火
唇红齿白 朱唇皓齿
应机立断 当机立断
截趾适屦 削足就履
见识浅短 少见多怪
化尽心血 费尽心机
怀璧其罪 象齿焚身
救火投薪 扬汤止沸
空言无补 纸上谈兵
娇羞答答 羞人答答
江中钓月 海底捞针
缘木求鱼 刻舟求剑
疾足先得 捷足先登
兰摧玉折 哲人其萎
血流漂杵 血流成河
骊歌高唱 阳关三迭
尽收眼底 一览无余
金樽旨酒 玉液琼浆
金石之盟 山盟海誓
汲深绠短 心余力绌
流芳千古 万古长青
牢骚满腹 怨气冲天
见猎心喜 跃跃欲动
义正词严 理直气壮
口血未干 言犹在耳
凌云壮志 志薄云霄
冷暖自知 心里有数
言行相诡 口是心非
言出法随 执法如山
开山祖师 鼻祖
料事如神 臆则屡中
立竿见影 吹糠见米
斗粟囊金 米珠薪贵
寸男尺女 一男半女
除污去垢 荡瑕涤秽
发上指冠 怒发冲冠
诡辞欺世 妖言惑众
脚踏两船 投机取巧
兵多将广 军多将广
剑拔弩张 一触即发
姑息养奸 养虎遗患
回头是岸 悬崖勒马
炉火纯青 出神入化
螳臂当车 以卵击石
狗彘不若 猪狗不如
祸不单行 灾患丛生
罗敷有夫 有夫之妇
芒刺在背 如坐针毡
洁身自爱 守身如玉
孑然一身 形单影只
脑满肠肥 大腹便便
斤斤计较 琐屑较量
超群脱俗 逸群绝俗
兵出无名 师出无名
安分守纪 循规蹈矩
量力而行 实事求是
乐极生悲 兴尽悲来
片纸只字 一鳞半爪
鸟尽弓藏 兔死狗烹
逆来顺受 唾面自干
论功行赏 照功行赏
鼠肚鸡肠 小肚鸡肠
百思不解 大惑不解
风烛残年 行将就木
花言巧语 甜言蜜语
轰轰烈烈 大张旗鼓
八面受敌 四面楚歌
八怪七喇 稀奇古怪
八百壮士 四行孤军
伏枥守株 乐道安贫
分秒必争 争分夺秒
合情合理 通情达理
目迷五色 眼花撩乱
步步为营 稳扎稳打
破涕为笑 转悲为喜
良莠淆杂 龙蛇混杂
良药苦口 忠言逆耳
乐天知命 安分守己
牛鼎烹鸡 大材小用
程门立雪 尊师重道
不偏不倚 中庸之道
常备不懈 枕戈待旦
不敢则声 吞声忍气
达官贵人 王侯将相
巢木居野 穴居野处
不迟不疾 从容不迫
冰天雪地 雪窖冰天
百无禁忌 童言无忌
才气纵横 天才横溢
波澜壮阔 汹涌澎湃
鞭辟入里 入木三分
吹箫吴市 沿门托钵
垂馨千祀 流芳百世
出阁之喜 于归之喜
仇隙在心 中怀怨恨
尺幅千里 掌上河山
趁波逐浪 随波逐流
耳食之言 以讹传讹
弹指之间 转瞬之间
不安于位 不守妇道
春花秋月 月下花前
蟾宫仙子 月里嫦娥
电光石火 稍纵即逝
赤血丹心 忠肝义胆
分文不取 一钱不受
豪侠好义 英雄仗义
随心所欲 为所欲为
鬼头鬼脑 鬼鬼祟祟
翠绕珠围 珠光宝气
锄强扶弱 振弱除暴
爱才若命 求贤若渴
嫁祸于人 以邻为壑
济困扶危 雪中送炭
丰功伟绩 劳苦功高
半吐半吞 欲言又止
獐头鼠目 蛇头鼠眼
继往开来 承前启后
风驰电掣 追风逐电
合浦还珠 失而复得
寡廉鲜耻 恬不知耻
貌合神离 同床异梦
不得善终 天诛地灭
不成体统 有失体统
比手划脚 指手画脚
搬弄是非 挑拨离间
软土深掘 得寸进尺
文房四宝 纸墨笔砚
依人篱下 为人作嫁
天罗地网 网罗密布
上山作贼 落草为寇
死生之契 啮臂之交
秋高气爽 天高气爽
徒托空言 托之空言
上行下效 言传身教
忍辱含垢 含垢忍辱
送往迎来 送旧迎新
前途难料 未定之天
难兄难弟 一丘之貉
私刑逼供 屈打成招
恰如私愿 正中下怀
弃旧容新 吐故纳新
全无所闻 一无所知
无所作为 碌碌无为
冒名行骗 招摇撞骗
同病相怜 惺惺相惜
弄柳拈花 拈花惹草
犬牙相制 犬牙交错
随随便便 马马虎虎
目即成诵 过目成诵
心慌意乱 方寸已乱
望而却步 望而生畏
升堂入室 造诣高深
书不宣意 言不尽意
一往无前 勇往直前
心如刀割 痛澈心脾
南征北战 出生入死
清风明月 月白风清
束身待罪 引颈就戮
文过饰非 掩罪藏恶
所嫁非人 遇人不淑
同宗同气 同出一脉
受人以柄 倒持泰阿
忍尤含诟 含垢忍辱
穷力尽心 仁至义尽
室迩人遐 人去楼空
片言立决 一语而解
矢口不移 一口咬定
消声匿迹 偃旗息鼓
善自为谋 自作打算
色授魂与 心醉情移
神工鬼斧 天造地设
双管齐下 左右开弓
前因后果 来龙去脉
伤弓之鸟 惊弓之鸟
三令五申 再三告诫
贴心贴腹 推心置腹
泼油救火 火上加油
攀辕卧辙 遮道挽留
腾云跨风 腾云驾雾
歪歪扭扭 歪七扭八
投鼠忌器 有所顾忌
息事宁人 相安无事
瓦釜雷鸣 小人得志
喜逐颜开 笑逐颜开
匹夫之勇 血气之勇
心灰意冷 意气消沉
收视反听 专心致志
倾尽国库 悉索敝赋
心花怒放 兴高采烈
世道沦亡 人心不古
乌烟瘴气 一塌糊涂
沐雨栉风 吸风饮露
药石之言 针砭之语
披麻带孝 拖麻拽布
世易时移 事过境迁
配药师 药剂师
不成材 不长进
女强人 铁娘子
救火员 消防员
飘飘然 由由然
论说文 议论文
检阅场 演武厅
挥挥手 招招手
阶下囚 囚徒
老花子 叫花子
女儿态 脂粉气
不忘本 有良心
藏书楼 图书馆
撮合山 月老祠
陈列所 展览场
空口说 空谈
稻粱谋 衣食计
农家子 田舍郎
釜中鱼 俎上肉
生力军 新力量
体育场 运动场
黑沉沉 阴森森
第一版 初版
博览会 展览会
钱树子 摇钱树
慈善家 善士
坦克车 装甲车
湿淋淋 湿漉漉
初级 低级
泉台 墓穴
刺目 刺眼
公家 公众
不乱 稳定
改行 转业
圣旨 诏书
试探 摸索
潜逃 叛逃
浮泛 空洞
简要 扼要
恬澹 淡泊
介入 参与
池沼 沼泽
哈腰 弯腰
春秋 年龄
首级 首领
知足 满足
村夫 乡人
赏格 悬赏
公开 公然
当真 认真
服帖 帖服
倒置 颠倒
底本 蓝本
羁縻 笼络
典礼 仪式
刚烈 刚强
赶上 遇上
穿戴 穿着
下落 着落
盛装 艳服
征聘 征请
生果 水果
甜美 甜蜜
至宝 珍宝
珍藏 收藏
戎行 军队
仙人 神仙
疾走 狂奔
封锁 封闭
邪念 杂念
什物 实物
高见 卓识
彻骨 透骨
公愤 众怒
奼女 少女
吉利 吉祥
假寓 定居
埋怨 抱怨
超额 逾额
爽朗 开朗
病院 医院
别号 别名
清淡 平淡
编缉 主笔
灰暗 昏暗
正视 重视
近世 晚世
饕戾 凶婪
假话 谎言
蹇滞 困阻
接风 拂尘
功臣 元勋
戎狄 蛮夷
交恶 反目
识相 知趣
世人 众人
吹打 奏乐
守信 取信
报歉 道歉
唐突 冒昧
波澜 波涛
白叟 老人
泊车 停车
辱没 屈辱
泊岸 靠岸
枢路 要津
如斯 如此
施医 赠医
报命 应命
保藏 收藏
揣想 悬想
哔叽 羽缎
初春 早春
健忘 忘记
吹奏 演奏
束装 整装
团聚 团圆
抽烟 吸烟
清癯 清瘦
稀薄 淡薄
不偶 数奇
编纂 编辑
片段 片断
禀承 遵奉
暴风 狂风
书厨 书柜
日夜 昼夜
安泰 安乐
迟早 早晚
储藏 蕴藏
凸起 突出
赐赉 赐予
床笫 枕席
嘶哑 沙哑
潜在 潜伏
松散 疏松
掏出 取出
茕居 独居
依从 允从
别传 外传
随俗 顺俗
陷溺 沉迷
沉浸 沉醉
绅士 名流
寒微 微贱
长夜 永夜
称疾 托病
畅谈 泛论
施主 檀越
鼎盛 壮盛
发烧 发热
侵蚀 腐蚀
长日 永日
厄运 恶运
青蛙 田鸡
包抄 包围
笔迹 字迹
牲畜 牲口
体裁 文体
饱食 餍饫
恶梦 噩梦
恰谈 洽商
仕进 做官
等闲 轻易
扼杀 抹杀
发还 发回
熟年 丰年
半途 中途
筹措 张罗
驰誉 驰名
庇荫 荫庇
破灭 幻灭
叹恨 怨嗟
投契 投机
长进 上进
替代 替换
田单 田契
丽人 美人
腼腆 忸怩
年迈 年老
乱世 浊世
成全 玉成
不决 未定
特意 特地
完稿 脱稿
响马 盗贼
起点 出发点
同僚 同寅
凝滞 呆滞
小童 幼童
鄙陋 猥琐
长官 主座
利便 方便
收容 收留
守法 遵法
边缘 边沿
便服 燕服
潮湿 湿润
按摩 推拿
案牍 文案
暗影 阴影
后辈 子弟
梗阻 阻塞
勉强 委曲
明示 昭示
募集 召募
特效 殊效
暗射 影射
土风 乡俗
难听 刺耳
瞻望 展望
芬芳 芳香
苟安 偷安
膏腴 腴膏
合力 协力
和婉 柔顺
合理 公道
厚酬 重酬
妄言 妄语
丰满 饱满
恭顺 恭敬
谜底 答案
遨游 翱翔
弄璋 梦熊
推寻 推求
复习 温习
跳舞 舞蹈
田猎 野猎
冰凉 冰冷
不凡 非凡
娘家 外家
外埠 外地
旁门 歪路
偏袒 左袒
把柄 痛处
暗里 私下
按期 定期
保留 保存
通风 透风
声名 申明
接踵 相继
皆宜 咸宜
笼盖 覆盖
捐募 捐献
幽谷 深谷
弘远 远大
擅权 专权
仰给 仰食
荆布 糟糠
渴想 渴望
腊月 尾月
略坐 小坐
梨园 戏班
腊肠 香肠
枢纽 关键
抓住 捉住
厚味 美味
耸然 屹然
晖映 照耀
酒保 侍者
通信 通讯
娇纵 骄纵
或曰 或谓
纪行 游记
回禄 祝融
挽劝 劝说
叫化 求乞
凶事 丧事
疏浚 疏通
烈焰 炎火
搅浑 混淆
晋升 提升
铺张 浪费
间断 中断
投亲 探亲
架空 排挤
滚动 转动
收尾 扫尾
流动 活动
饥馑 饥荒
今日 本日
良久 很久
抬举 提拔
出产 生产
内衣 亵服
南风 熏风
招安 招抚
正人 君子
塌台 垮台
冷笑 嘲笑
凉气 冷气
留存 保存
髫龄 龆年
纵贯 直通
珍异 珍奇
排遣 排解
白皙 白净
抒情 抒怀
成本 本钱
送达 投递
差劲 低劣
年青 年轻
乞降 求和
外援 外助
拜访 造访
凹地 洼地
挨饿 受饿
麻木 麻痹
暮景 晚景
删省 删节
浓艳 冶艳
启齿 开口
顺路 顺道
沉闷 烦闷
按捺 抑制
审讯 审判
联盟 同盟
搪突 冒犯
必需 必须
保守 守旧
无邪 天真
笔直 笔挺
晨风 晓风
废话 空话
妊妇 孕妇
出事 失事
法度 法式
当即 立即
调拨 挑唆
调子 音调
阻梗 阻当
服毒 仰药
勾勒 勾画
翻腾 翻滚
冬风 北风
毒杀 鸩杀
独身 单身
顿挫 抑扬
赏识 欣赏
浊流 污流
戍卫 卫护
傍门 歪路
收成 收获
积压 积存
谨严 谨慎
进款 入款
一一 逐一
利落 爽利
次日 第二天
动静 消息
缔姻 联婚
深挚 深厚
粗拙 粗糙
打通 买通
地蜡 白蜡
平等 同等
篱笆 竹篱
讲演 报告
气焰 气势
恰是 正是
揄扬 吹嘘
蕴蓄 积聚
曲解 误解
郁悒 愁闷
精髓 精华
寂聊 枯寂
寄身 托身
矜持 自持
路过 途经
遴派 选派
流放 放逐
兵工 军工
军工 兵工
军功 战功
立名 扬名
激辩 舌战
因为 由于
拒守 把守
缴获 缉获
浸礼 洗礼
溘然 忽然
乐岁 丰年
郊游 远足
困倦 困乏
良俦 良伴
老拙 老朽
领港 引港
货泉 货币
轿子 肩舆
秘要 机密
起码 最少
葬送 断送
嫖妓 冶游
老是 总是
修好 修睦
惧罪 畏罪
悦耳 动听
拷打 鞭挞
克扣 剥削
尽忠 效忠
率性 任性
披发 散发
集团 团体
脸红 酡颜
连络 连系
经由 经过
计帐 算帐
极目 纵目
几回 几次
进级 升级
救兵 援军
再版 重版
精晓 精通
门徒 徒弟
马脚 破绽
剿袭 袭取
黑货 私货
预赛 初赛
远离 阔别
气息 气味
酒徒 醉翁
壅塞 阻塞
剧场 剧院
尖利 尖锐
中听 入耳
机能 性能
家传 祖传
呼啸 咆哮
隐忍 哑忍
辑穆 和睦
划子 小船
火药 炸药
最终 终究
抽剥 剥削
机杼 心裁
难题 困难
奖惩 赏罚
辑睦 和睦
紧紧 牢牢
做作 造作
镇压 弹压
欢忻 忻忭
空论 空话
荏弱 柔弱
巨匠 大师
器具 用具
钱庄 银号
谨防 严防
捷报 喜报
孑遗 余存
设法 想法
计策 计谋
检修 检验
桀黠 狡猾
浪荡 游荡
蒲月 五月
假称 托辞
湔雪 洗雪
旧病 宿病
假货 赝品
话旧 叙旧
浑朴 浑厚
嫁祸 移祸
目眩 眼花
克意 锐意
话筒 麦克风
季子 幼子
排击 排挤
肋膜 胸膜
蜡烛 烛炬
盘考 盘问
冷视 漠视
每日 逐日
类别 种别
亲自 亲身
亢旱 久旱
良多 很多
浓烈 浓郁
媒婆 牙婆
礼拜 星期
溺职 渎职
无限 无穷
食物 食品
弄法 玩法
旷废 荒废
匡助 帮助
夸姣 美好
落款 题名
盘剥 剥削
抛却 放弃
密意 深情
迫临 逼近
批颊 掌掴
裂痕 裂缝
努目 瞪眼
念头 动机
枪弹 子弹
凶兆 恶兆
麻布 夏布
逆命 抗命
雪耻 雪恨
平话 说书
泥像 塑像
攫取 掠夺
面前 眼前
昆裔 后代
款接 延接
康年 丰年
炼坊 冶坊
临近 邻近
领巾 围巾
休止 停止
清点 盘点
卵形 椭圆形
綦严 严紧
癖好 嗜好
骗财 诈财
预付 预支
飘动 飞舞
酒杯 羽觞
披露 表露
旷地 空地
老景 晚景
羞怯 羞涩
酷刑 严刑
冷巷 小巷
逻骑 侦骑
另娶 再娶
涓滴 丝毫
慨诺 允承
排闼 推门
祸首 罪魁
优胜 优越
兼并 吞并
元凶 首恶
介弟 令弟
犒赏 赏赐
盲眼 瞎眼
旧事 往事
进谒 投刺
抉剔 挑剔
结子 结实
借鉴 鉴戒
卵翼 庇护
贞洁 纯洁
礼聘 聘请
立异 创新
胪陈 详述
滥调 谰言
纳贿 受贿
目生 陌生
肉痛 心痛
旭日 朝阳
辚轹 践踏
刷洗 洗擦
前贤 先哲
书画 字画
朴重 正直
伶丁 孤苦
涕零 涕泣
锦绣 美丽
肉瘤 赘瘤
可托 可信
目炫 眼花
老儒 夙儒
津贴 补助
津润 滋润
了债 清偿
严惩 重办
力量 气力
谦谢 逊谢
斗室 小房
前驱 先驱
典质 抵押
少憩 暂休
吊挂 悬挂
恶相 凶相
道别 作别
碉堡 堡垒
定亲 订婚
蕃庑 茂盛
犯错 出错
房钱 租金
废料 废物
的当 确当
辞意 文意
仿单 说明书
倾泻 倾注
顶用 中用
仍是 还是
儿歌 童谣
法宝 宝贝
蕃芜 茂盛
下昼 下午
负疚 抱歉
恶棍 无赖
法场 刑场
泛博 广大
菲敬 菲仪
渡过 度过
蠹虫 蛀虫
端的 真个
刚好 恰好
地志 舆志
鼎力 大力
毒酒 鸩酒
锻造 铸造
细目 详目
据守 扼守
栖身 居住
喝酒 饮酒
贵爵 王侯
佛门 空门
服饰 衣饰
鼎峙 鼎立
受惠 沾恩
毒手 辣手
房契 宅券
丰硕 丰富
风闻 传闻
膏壤 沃土
放火 纵火
洞居 穴居
飞跃 奔腾
闲逸 散逸
刀兵 兵器
丁壮 壮年
山洞 岩穴
测量 丈量
乌黑 黝黑
惩恶 劝善
私交 私情
答谢 报答
苍莽 苍茫
长生 永生
饶富 富足
冲刷 冲洗
参谋 顾问
乘机 伺机
持禄 尸位素餐
成仙 羽化
丛集 猬集
渗入 渗透
独一 唯一
地舆 地理
斗丽 争艳
下世 来世
出缺 有缺
纯挚 纯真
飞驰 飞奔
丹青 图画
到手 得手
打动 感动
发窘 发慌
烦厌 腻烦
出险 脱险
催讨 追讨
切当 确切
呈文 报告
晨安 早安
但愿 希望
顶嘴 顶撞
人道 人性
带同 携同
订亲 订婚
山人 隐士
多灾 多难
哗笑 喧笑
寄意 寓意
拙笔 秃笔
豪气 英气
合用 适用
规语 箴言
豪侈 奢侈
住手 停止
舌人 译员
闪开 让开
红霞 彤霞
虎睨 鹰视
花匠 园丁
回身 转身
嫁奁 嫁妆
混蛋 忘八
忤逆 违逆
交壤 交界
咭片 名片
期近 在即
耐劳 刻苦
龋齿 蛀牙
姑苏 苏州
糊口 生活
莫非 难道
扭捏 摇摆
翦灭 扫除
技击 武术
街市 市井
呵护 庇护
好笑 可笑
前提 条件
眸子 眼珠
辉映 照映
甲由 蟑螂
烧饭 煮饭
豪举 壮举
呼叫 呼唤
花腔 花样
怀怨 抱恨
华山 西岳
命脉 命根子
会萃 聚集
爬泳 自由式泳法
缺漏 罅漏
房主 房东
横目 怒目
暮秋 深秋
耳目 线人
发源 起源
专制 独裁
自夸 自诩
风貌 风采
肥饶 肥沃
茂发 向荣
贮备 储备
轻风 微风
黑点 斑点
酣畅 畅快
摄生 养生
餬口 谋生
高寿 遐龄
轨制 制度
扞卫 保卫
冗赋 杂税
甘旨 美味
犯禁 违禁
专横 跋扈
豆芽 芽菜
讹传 谣传
功课 作业
割断 切断
跟着 随着
够数 足数
鹄候 伫候
逛逛 走走
泛起 出现
斗胆 大胆
卓见 卓识
恶疾 顽疾
绳尺 准绳
互市 通商
拂拭 扫除
给以 赐与
赅博 渊博
更甚 愈甚
顾恤 怜惜
光鲜 鲜明
涵养 修养
谋事 找事
惹人 引人
火炬 火把
商定 约定
施展 发挥
共识 共鸣
寄迹 托足
讳饰 遮掩
贵姓 尊姓
润饰 修饰
毫不 绝不
狐臭 腋臭
巧合 偶合
轻柔 柔柔
贵体 玉体
孤傲 孤独
规画 筹划
鹄立 伫立
呼叱 叱责
何为 作甚
焚杀 屠烧
转晴 放晴
干犯 冒犯
扶病 抱病
因而 因此
最让 最使
最使 最让
之中 当中
长此以往 久而久之
久而久之 长此以往
长期 长时间
导致 致使
致使 导致
一 1
二 2
三 3
四 4
五 5
六 6
七 7
八 8
九 9
十 10
十一 11
十二 12
及早 尽早
至少 最少
不必 没必要
引起 引发
势必 必将
必将 势必
每月 每个月
每个月 每月
很可能 极可能
极可能 很可能
时常 经常
爱美 爱漂亮
短期 短时间
或者 或
伴有 伴随
往往 常常
不少 很多
无法 没法
洗手间 卫生间
卫生间 洗手间
尤其 特别
加之 加上
一位 一名
一名 一位
由此可见 因而可知
此外 另外
俗话说 俗语说
此间 其间
安家立业 成家立业
背水一战 破釜沉舟
标新立异 独树一帜
病入膏肓 不可救药
惨无人道 惨绝人寰
乘风破浪 披荆斩棘
川流不息 络绎不绝
刀山火海 龙潭虎穴
恩将仇报 以怨报德
耳濡目染 耳闻目睹
翻天覆地 天翻地覆
翻云覆雨 朝三暮四
反唇相讥 反唇相稽
俯首帖耳 俯首听命
歌功颂德 树碑立传
攻无不克 战无不胜
怀才不遇 明珠暗投
患难与共 同甘共苦
洁身自好 明哲保身
竭尽全力 全力以赴
尽人皆知 众所周知
惊天动地 震天动地
理所当然 天经地义
寥寥可数 屈指可数
落花流水 屁滚尿流
蒙头转向 晕头转向
面面俱到 四平八稳
面如土色 面无人色
名不虚传 名副其实
莫名其妙 稀里糊涂
难解难分 难分难舍
记忆犹心 历历在目
排难解纷 排忧解难
品学兼优 得才兼备
平白无故 无缘无故
平步青云 一步登天
迫在眉睫 燃眉之急
铺天盖地 遮天蔽日
弃暗投明 改邪归正
千方百计 想方设法
情投意合 心心相印
惹事生非 无事生非
舍己救人 舍己为人
舍生取义 杀身成仁
视若无睹 视而不见
首屈一指 数一数二
